Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)
conn_from_pod1_host2_to_pod4_host8_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0186472, 0.0184668, 6.19711e+08

conn_from_pod1_host2_to_pod4_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183528, 0.0181578, 6.30258e+08

conn_from_pod1_host2_to_pod5_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186316, 0.0184336, 6.20829e+08

conn_from_pod1_host2_to_pod5_host2_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0186789, 0.0184982, 6.18659e+08

conn_from_pod1_host2_to_pod5_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186168, 0.0184189, 6.21322e+08

conn_from_pod1_host2_to_pod5_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186312, 0.0184332, 6.2084e+08

conn_from_pod1_host2_to_pod5_host5_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0184488, 0.0182704, 6.26373e+08

conn_from_pod1_host2_to_pod5_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186319, 0.0184339, 6.20817e+08

conn_from_pod1_host2_to_pod5_host7_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186202, 0.0184223, 6.2121e+08

conn_from_pod1_host2_to_pod5_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186131, 0.0184153, 6.21446e+08

conn_from_pod1_host2_to_pod5_host9_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0185981, 0.0184183, 6.21345e+08

conn_from_pod1_host2_to_pod6_host1_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186269, 0.0184289, 6.20986e+08

conn_from_pod1_host2_to_pod6_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183761, 0.0181808, 6.2946e+08

conn_from_pod1_host2_to_pod6_host3_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183447, 0.0181498, 6.30537e+08

conn_from_pod1_host2_to_pod6_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0184038, 0.0182082, 6.28513e+08

conn_from_pod1_host2_to_pod6_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186195, 0.0184216, 6.21232e+08

conn_from_pod1_host2_to_pod6_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0183896, 0.0181941, 6.28999e+08

conn_from_pod1_host2_to_pod6_host7_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0183347, 0.0181574, 6.30273e+08

conn_from_pod1_host2_to_pod6_host8_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186946, 0.0184959, 6.18737e+08

conn_from_pod1_host2_to_pod6_host9_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186316, 0.0184336, 6.20829e+08

conn_from_pod1_host3_to_pod1_host1_flow_1, 1500, 1536000, 1551000, 1536000, 0.976562, 15000, 10, 0.0186767, 0.0184961, 6.1873e+08

conn_from_pod1_host3_to_pod1_host2_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185822, 0.0183847, 6.22479e+08

conn_from_pod1_host3_to_pod1_host4_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0184044, 0.0182088, 6.28494e+08

conn_from_pod1_host3_to_pod1_host5_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0185795, 0.0183821, 6.22568e+08

conn_from_pod1_host3_to_pod1_host6_flow_1, 1500, 1536000, 1552500, 1536000, 1.07422, 16500, 11, 0.0186382, 0.0184401, 6.20609e+08

